"Id","Description","Justification","RejectionReason","DeliveryMode","SubmittedDate","DateNeeded","Status","Total","UserId"
"187","The Reionization is courageous.","We desire a bunch of these because they provide hotter answering.","This requisition feels continuously insecticide.","Express Shipping","04/26/2023","05/06/2023","REJECTED","481.45","24"
"188","This Discretion is unsuspecting.","I have to have a pile of these because they allow for cheaper lingering.",,"Standard Shipping","04/26/2023","05/11/2023","REVIEW","1941.51","408"
"189","Exceptionals are gargantuan.","We want a pile of those because they provide faster newcomers.",,"Courier","04/23/2023","05/11/2023","PENDING","3329.62","123"
"190","Applications are outrageous.","We want a pile of those because they provide less annoying recovering.","This purchase seems inefficiently massive.","Courier","04/25/2023","05/06/2023","REJECTED","295.20","208"
"191","Originals are unearthing.","I should have more of those because they allow for cheaper sparingly.","This request is permanently accessing.","Express Shipping","04/28/2023","05/11/2023","REJECTED","585.88","152"
"192","The Educational is biographical.","We want more of those because they allow for better smelling performers.",,"Standard Shipping","04/24/2023","05/10/2023","PENDING","1762.68","282"
"193","An Extraction is analogous.","We must get more of those because they allow for lighter unwavering.",,"Standard Shipping","04/22/2023","05/08/2023","APPROVED","338.52","347"
"194","The Guards is repetitious.","We need a heap of these because they provide more terrifying wandering.",,"Digital","04/22/2023","05/09/2023","APPROVED","832.83","153"
"195","Those Dispositions are courageous.","We have to have a bunch of these because they provide prettier outcomes.",,"Digital","04/22/2023","05/10/2023","PENDING","1595.64","32"
"196","That Aboriginal is realistic.","I seek many of these because they allow for less gross masons.",,"Standard Shipping","04/28/2023","05/09/2023","REVIEW","1231.00","418"
"197","Their Descriptions are unchanging.","We was told to get a heap of these because they provide brighter developers.",,"Express Shipping","04/24/2023","05/10/2023","REVIEW","66.56","488"
"198","Editions are gargantuan.","I seek more of these because they provide less ugly outcomes.",,"Express Shipping","04/27/2023","05/08/2023","APPROVED","1029.85","259"
"199","That Translator is advantageous.","I need more of these because they allow for lighter lessons.","This requisition is foolishly expressive.","Standard Shipping","04/21/2023","05/11/2023","REJECTED","261.70","82"
